"ActivityName" "SubjectID" "Variable" "VariableAverage"
"Walking" 1 "timeDomain-BodyAccelerometer-mean-X" 0.277330758736842
"Walking" 1 "timeDomain-BodyAccelerometer-mean-Y" -0.0173838185273684
"Walking" 1 "timeDomain-BodyAccelerometer-mean-Z" -0.111148103547368
"Walking" 1 "timeDomain-GravityAccelerometer-mean-X" 0.935223201473684
"Walking" 1 "timeDomain-GravityAccelerometer-mean-Y" -0.282165021263158
"Walking" 1 "timeDomain-GravityAccelerometer-mean-Z" -0.068102864
"Walking" 1 "timeDomain-BodyAccelerometerJerk-mean-X" 0.0740416333157895
"Walking" 1 "timeDomain-BodyAccelerometerJerk-mean-Y" 0.0282721095884211
"Walking" 1 "timeDomain-BodyAccelerometerJerk-mean-Z" -0.00416840617789474
"Walking" 1 "timeDomain-BodyGyroscope-mean-X" -0.041830963526
"Walking" 1 "timeDomain-BodyGyroscope-mean-Y" -0.0695300462115789
"Walking" 1 "timeDomain-BodyGyroscope-mean-Z" 0.0849448173042105
"Walking" 1 "timeDomain-BodyGyroscopeJerk-mean-X" -0.0899975423705263
"Walking" 1 "timeDomain-BodyGyroscopeJerk-mean-Y" -0.0398428709463158
"Walking" 1 "timeDomain-BodyGyroscopeJerk-mean-Z" -0.0461309295021053
"Walking" 1 "timeDomain-BodyAccelerometerMag-mean" -0.136971176556842
"Walking" 1 "timeDomain-GravityAccelerometerMag-mean" -0.136971176556842
"Walking" 1 "timeDomain-BodyAccelerometerJerkMag-mean" -0.141428809031579
"Walking" 1 "timeDomain-BodyGyroscopeMag-mean" -0.160979552536842
"Walking" 1 "timeDomain-BodyGyroscopeJerkMag-mean" -0.298703679084211
"Walking" 1 "freqDomain-BodyAccelerometer-mean-X" -0.202794306326316
"Walking" 1 "freqDomain-BodyAccelerometer-mean-Y" 0.0897127264021053
"Walking" 1 "freqDomain-BodyAccelerometer-mean-Z" -0.331560117789474
"Walking" 1 "freqDomain-BodyAccelerometerJerk-mean-X" -0.170546964549579
"Walking" 1 "freqDomain-BodyAccelerometerJerk-mean-Y" -0.0352255241130632
"Walking" 1 "freqDomain-BodyAccelerometerJerk-mean-Z" -0.468999224631579
"Walking" 1 "freqDomain-BodyGyroscope-mean-X" -0.339032197115789
"Walking" 1 "freqDomain-BodyGyroscope-mean-Y" -0.103059416434737
"Walking" 1 "freqDomain-BodyGyroscope-mean-Z" -0.255940940315789
"Walking" 1 "freqDomain-BodyAccelerometerMag-mean" -0.128623450629474
"Walking" 1 "freqDomain-BodyBodyAccelerometerJerkMag-mean" -0.0571194000343158
"Walking" 1 "freqDomain-BodyBodyGyroscopeMag-mean" -0.199252568986316
"Walking" 1 "freqDomain-BodyBodyGyroscopeJerkMag-mean" -0.319308593778947
"Walking" 1 "timeDomain-BodyAccelerometer-std-X" -0.283740258842105
"Walking" 1 "timeDomain-BodyAccelerometer-std-Y" 0.114461336747368
"Walking" 1 "timeDomain-BodyAccelerometer-std-Z" -0.260027902210526
"Walking" 1 "timeDomain-GravityAccelerometer-std-X" -0.976609642526316
"Walking" 1 "timeDomain-GravityAccelerometer-std-Y" -0.971305961473684
"Walking" 1 "timeDomain-GravityAccelerometer-std-Z" -0.947717226105263
"Walking" 1 "timeDomain-BodyAccelerometerJerk-std-X" -0.113615602435789
"Walking" 1 "timeDomain-BodyAccelerometerJerk-std-Y" 0.0670025007684211
"Walking" 1 "timeDomain-BodyAccelerometerJerk-std-Z" -0.502699788526316
"Walking" 1 "timeDomain-BodyGyroscope-std-X" -0.473535485894737
"Walking" 1 "timeDomain-BodyGyroscope-std-Y" -0.0546077686594737
"Walking" 1 "timeDomain-BodyGyroscope-std-Z" -0.344266629473684
"Walking" 1 "timeDomain-BodyGyroscopeJerk-std-X" -0.207421854757895
"Walking" 1 "timeDomain-BodyGyroscopeJerk-std-Y" -0.304468510631579
"Walking" 1 "timeDomain-BodyGyroscopeJerk-std-Z" -0.404255452631579
"Walking" 1 "timeDomain-BodyAccelerometerMag-std" -0.219688645631579
"Walking" 1 "timeDomain-GravityAccelerometerMag-std" -0.219688645631579
"Walking" 1 "timeDomain-BodyAccelerometerJerkMag-std" -0.0744717500625263
"Walking" 1 "timeDomain-BodyGyroscopeMag-std" -0.186978364526316
"Walking" 1 "timeDomain-BodyGyroscopeJerkMag-std" -0.325324878894737
"Walking" 1 "freqDomain-BodyAccelerometer-std-X" -0.319134719578947
"Walking" 1 "freqDomain-BodyAccelerometer-std-Y" 0.056040006846
"Walking" 1 "freqDomain-BodyAccelerometer-std-Z" -0.279686751494737
"Walking" 1 "freqDomain-BodyAccelerometerJerk-std-X" -0.133586606326316
"Walking" 1 "freqDomain-BodyAccelerometerJerk-std-Y" 0.106739857136
"Walking" 1 "freqDomain-BodyAccelerometerJerk-std-Z" -0.534713440421053
"Walking" 1 "freqDomain-BodyGyroscope-std-X" -0.516691938736842
"Walking" 1 "freqDomain-BodyGyroscope-std-Y" -0.0335081597884211
"Walking" 1 "freqDomain-BodyGyroscope-std-Z" -0.436562227473684
"Walking" 1 "freqDomain-BodyAccelerometerMag-std" -0.398032586842105
"Walking" 1 "freqDomain-BodyBodyAccelerometerJerkMag-std" -0.103492403002105
"Walking" 1 "freqDomain-BodyBodyGyroscopeMag-std" -0.321017953894737
"Walking" 1 "freqDomain-BodyBodyGyroscopeJerkMag-std" -0.381601911789474
"Walking" 2 "timeDomain-BodyAccelerometer-mean-X" 0.276426586440678
"Walking" 2 "timeDomain-BodyAccelerometer-mean-Y" -0.0185949199145763
"Walking" 2 "timeDomain-BodyAccelerometer-mean-Z" -0.105500357966102
"Walking" 2 "timeDomain-GravityAccelerometer-mean-X" 0.91301733338983
"Walking" 2 "timeDomain-GravityAccelerometer-mean-Y" -0.34660709
"Walking" 2 "timeDomain-GravityAccelerometer-mean-Z" 0.0847270871186441
"Walking" 2 "timeDomain-BodyAccelerometerJerk-mean-X" 0.0618080696279661
"Walking" 2 "timeDomain-BodyAccelerometerJerk-mean-Y" 0.0182492679288136
"Walking" 2 "timeDomain-BodyAccelerometerJerk-mean-Z" 0.00789533706610169
"Walking" 2 "timeDomain-BodyGyroscope-mean-X" -0.0530258157347458
"Walking" 2 "timeDomain-BodyGyroscope-mean-Y" -0.0482382316949153
"Walking" 2 "timeDomain-BodyGyroscope-mean-Z" 0.0828336633220339
"Walking" 2 "timeDomain-BodyGyroscopeJerk-mean-X" -0.0818833429152542
"Walking" 2 "timeDomain-BodyGyroscopeJerk-mean-Y" -0.0538299449067797
